차종,가격,연식,배기량,주행거리,색상,변속기,연료,선루프,LED헤드램프,어댑티드헤드램프,가죽시트,열선시트(앞좌석),통풍시트,후방센서,스마트키,네비게이션(순정),네비게이션(비순정),전손유무,소유자 이전 횟수,침수유무
현대 팰리세이드 3.8 가솔린 4WD  캘리그래피,"3,350만원",2021.1,"3,778 cc (295마력)","52,970 km",진회색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,,,
기아 더 뉴 카니발 2.2 디젤 9인승  노블레스 스페셜,"2,470만원",2018.06,"2,199 cc (202마력)","60,316 km",검정색,자동,디젤,0,1,1,1,1,1,1,1,1,0,,,
기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD 노블레스,"3,690만원",2021.09,"1,598 cc (230마력)","48,440 km",흰색,자동,가솔린 하이브리드,0,1,1,1,1,1,1,1,1,0,,,
현대 더 뉴 그랜저 하이브리드 2.4 HEV 익스클루시브,"3,280만원",2020.01,"2,359 cc (159마력)","7,182 km",검정색,자동,가솔린 하이브리드,0,1,1,1,1,1,1,1,1,0,,,
제네시스 더 올 뉴 G80 2.5 터보 AWD,"5,099만원",2021.03,"2,497 cc (304마력)","40,911 km",흰색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,,,
제네시스 GV80 2.5 터보 5인승,"4,750만원",2021.06,"2,497 cc (304마력)","43,000 km",흰색,자동,가솔린,,,,,,,,,,,,,
제네시스 GV80 3.0 디젤 AWD 5인승,"5,699만원",2020.1,"2,996 cc (278마력)","47,591 km",흰색,자동,디젤,0,1,1,1,1,1,1,1,1,0,,,
제네시스 더 올 뉴 G80 2.5 터보,"5,599만원",2022.03,"2,497 cc (304마력)","8,878 km",흰색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,,,
제네시스 더 올 뉴 G80 3.5 터보 AWD,"4,999만원",2021.01,"3,470 cc (380마력)","33,389 km",검정색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,,,
제네시스 더 올 뉴 G80 2.5 터보 AWD,"4,999만원",2020.09,"2,497 cc (304마력)","31,722 km",검정색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,,,
제네시스 GV80 3.5 터보 AWD  5인승,"6,490만원",2021.01,"3,470 cc (380마력)","28,477 km",흰색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,,,
기아 쏘렌토 4세대 2.2 디젤 2WD  노블레스,"3,350만원",2021.08,"2,151 cc (202마력)","26,113 km",검정색,자동,디젤,0,1,1,1,1,1,1,1,1,0,,,
기아 더 뉴 카니발 2.2 디젤 9인승 하이리무진 노블레스 스페셜,"3,490만원",2019.04,"2,199 cc (202마력)","52,203 km",검정색,자동,디젤,,,,,,,,,,,,,
제네시스 EQ900 3.3 터보 AWD 럭셔리,"2,320만원",2016.04,"3,342 cc (370마력)","99,439 km",검정색,자동,가솔린,0,0,1,1,0,1,1,1,1,0,,,
제네시스 더 올 뉴 G80 2.5 터보 AWD,"5,090만원",2021.03,"2,497 cc (304마력)","38,421 km",흰색,자동,가솔린,,,,,,,,,,,,,
제네시스 더 뉴 G70 2.0 터보 AWD 스포츠 팩,"3,750만원",2022.02,"3,342 cc (255마력)","42,208 km",흰색,자동,가솔린,,,,,,,,,,,,,
제네시스 GV70 2.2 디젤 AWD,"3,790만원",2021.03,"2,151 cc (210마력)","66,525 km",검정색,자동,디젤,0,1,0,1,1,1,1,1,1,0,,,
기아 카니발 4세대 3.5 가솔린 7인승 하이리무진 시그니처,"4,770만원",2022.05,"3,470 cc (294마력)","27,649 km",검정색,자동,가솔린,,,,,,,,,,,,,
제네시스 GV70 2.5 터보 스포츠,"5,099만원",2021.03,"2,497 cc (304마력)","15,720 km",흰색,자동,가솔린,0,1,0,1,1,1,1,1,1,0,,,
제네시스 G70 2.0 터보 AWD 슈프림,"2,799만원",2018.06,"1,998 cc (252마력)","59,814 km",흰색,자동,가솔린,1,1,0,1,1,1,1,1,1,0,,,
제네시스 G90 1세대 3.8 럭셔리,"4,650만원",2019.1,"3,778 cc (315마력)","47,550 km",흰색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,,,
제네시스 GV70 3.5 터보 AWD 스포츠,"4,850만원",2021.12,"3,470 cc (380마력)","56,659 km",검정색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,,,
제네시스 GV80 2.5 터보 5인승,"4,790만원",2021.11,"2,497 cc (304마력)","67,778 km",진회색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,,,
현대 더 뉴 그랜저 2.5 캘리그래피,"2,920만원",2020.04,"2,497 cc (198마력)","50,000 km",진회색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,,,
기아 더 뉴 K9 3.8 AWD  베스트 셀렉션 I,"4,690만원",2021.08,"3,778 cc (315마력)","40,772 km",흰색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,,,
제네시스 GV80 2.5 터보 AWD 5인승,"6,099만원",2022.01,"2,497 cc (304마력)","35,646 km",흰색,자동,가솔린,,,,,,,,,,,,,
제네시스 GV80 3.0 디젤 AWD 7인승,"6,490만원",2020.03,"2,996 cc (278마력)","57,282 km",흰색,자동,디젤,1,1,1,1,1,1,1,1,1,0,,,
제네시스 G90 2세대 3.5 터보 AWD,"8,690만원",2022.12,"3,470 cc (380마력)","21,308 km",흰색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,,,
제네시스 GV80 3.0 디젤 AWD 5인승,"7,690만원",2023.04,"2,996 cc (278마력)","17,798 km",검정색,자동,디젤,1,1,1,1,1,1,1,1,1,0,,,
기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD 노블레스,"3,570만원",2020.06,"1,598 cc (230마력)","48,593 km",흰색,자동,가솔린 하이브리드,0,1,1,1,1,1,1,1,1,0,,,
제네시스 G70 2.0 터보 AWD 엘리트,"2,830만원",2020.02,"1,998 cc (252마력)","40,593 km",흰색,자동,가솔린,,,,,,,,,,,,,
제네시스 더 올 뉴 G80 2.5 터보,"5,030만원",2020.09,"2,497 cc (304마력)","18,057 km",흰색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,,,
제네시스 GV80 2.5 터보 6인승,"5,499만원",2022.01,"2,497 cc (304마력)","58,237 km",검정색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,,,
