차종,가격,연식,주행거리,연료,변속기,배기량,색상,전손이력,침수이력,소유자변경,썬루프,내비게이션,스마트키,오토라이트,주차감지센서,열선시트,통풍시트,가죽시트
(경기80배3585)르노코리아 마스터 밴2.3dCi L,"1,950만원",19년09월(19년형),"87,650km",디젤,수동,0cc,흰색,없음,없음,없음,0,0,0,0,0,0,0,0
(191노4574)현대 싼타페 더 프라임디젤 R2.0 2WD 5인승 익스클루시브 기본,"1,260만원",16년12월(17년형),"152,358km",디젤,오토,0cc,흰색,없음,없음,1회,0,1,1,0,0,0,0,0
(87무0353)기아 더 뉴 봉고31톤 킹캡 장축 2WD GL,"1,690만원",20년10월(20년형),"38,048km",디젤,오토,"2,497cc",흰색,없음,없음,2회,0,1,0,0,0,0,0,1
(316로1834)기아 쏘렌토 4세대2.5 T-GDI 4WD 트렌디,"3,230만원",21년11월(22년형),"27,186km",가솔린,오토,"2,497cc",흰색,없음,없음,없음,0,0,1,0,0,0,0,1
(268로9953)한국GM 더 뉴 말리부1.3 터보 프리미어 프라임 세이프티,"2,190만원",21년06월(21년형),"31,423km",가솔린,오토,"1,341cc",회색,없음,없음,2회,1,1,1,0,0,0,0,1
(60더5586)현대 엑센트(신형)1.4 VVT 모던,700만원,14년10월(15년형),"40,000km",가솔린,오토,0cc,흰색,없음,없음,1회,0,1,0,0,0,0,0,1
(86주9165)기아 더 뉴 봉고3냉장탑차 1톤 표준형 킹캡 초장축 L,"2,410만원",21년06월(22년형),"44,589km",디젤,오토,"2,497cc",흰색,없음,없음,없음,0,0,0,0,0,0,0,1
(70주1117)현대 그랜드스타렉스11인승 왜건 HVX VIP PACK,"1,290만원",11년11월(12년형),"104,280km",디젤,오토,"2,497cc",검정색,없음,없음,1회,1,1,0,1,1,1,0,1
(63모9722)기아 K5가솔린 2.4 GDI 프레스티지,650만원,11년06월(11년형),"65,000km",가솔린,오토,0cc,회색,없음,없음,1회,0,0,0,0,0,0,0,1
(182루5900)기아 쏘렌토 4세대 하이브리드1.6 HEV 시그니처,"3,830만원",20년04월(21년형),"50,383km",하이브리드(가솔린),오토,"1,598cc",흰색,없음,없음,1회,1,1,1,1,1,1,1,1
(173루1972)기아 올 뉴 카니발7인승 3.3 가솔린 리무진 프레지던트,"2,030만원",17년04월(17년형),"130,660km",가솔린,오토,"3,342cc",검정색,없음,없음,2회,1,1,1,1,1,1,1,1
(229라6985)기아 K5 3세대1.6 가솔린 터보 시그니처,"2,730만원",21년03월(21년형),"60,863km",가솔린,오토,"1,598cc",흰색,없음,없음,없음,1,1,1,1,1,1,1,1
(127러4580)기아 더 뉴 셀토스(SP2)1.6 T-GDI 2WD 시그니처,"2,750만원",23년05월(23년형),"9,760km",가솔린,오토,"1,598cc",파랑색,없음,없음,없음,0,1,1,1,1,1,1,1
(43서0428)KG모빌리티 티볼리디젤 LX 기본형,890만원,16년01월(16년형),"82,636km",디젤,오토,0cc,회색,없음,없음,2회,1,0,1,1,1,1,1,1
(68고0869)기아 스포티지 4세대디젤 1.7 2WD 노블레스,"1,190만원",16년01월(16년형),"123,489km",디젤,오토,"1,685cc",회색,없음,없음,1회,1,1,1,1,1,1,1,1
(149하2710)르노코리아 뉴 QM62.0 GDe 2WD LE,"2,200만원",21년08월(21년형),"13,404km",가솔린,CVT,"1,997cc",회색,없음,없음,없음,1,1,1,1,1,1,0,1
