차종,가격,연식,주행거리,연료,변속기,배기량,색상,전손이력,침수이력,소유자변경,썬루프,내비게이션,스마트키,오토라이트,주차감지센서,열선시트,통풍시트,가죽시트
(74도6598)기아 카니발 R그랜드카니발 GX 그랜드 팩,540만원,10년10월(10년형),"132,155km",디젤,오토,"2,199cc",검정색,없음,없음,2회,0,0,0,0,0,0,0,0
(305우6111)현대 더 뉴 그랜저2.5 프리미엄 초이스,"1,840만원",20년02월(20년형),"109,985km",가솔린,오토,"2,500cc",검정색,없음,없음,1회,0,1,1,1,1,1,1,1
(22오9412)기아 스팅어2.0 터보 4WD 플래티넘,"2,299만원",17년11월(18년형),"104,245km",가솔린,오토,"1,998cc",진주색,없음,없음,1회,0,1,1,1,1,1,1,1
(150루7654)현대 펠리세이드2.2 디젤 7인승 익스클루시브,"2,430만원",19년10월(19년형),"94,603km",디젤,오토,"2,199cc",회색,없음,없음,1회,0,1,1,1,1,1,1,1
(79무8280)기아 카니발 R그랜드카니발 GLX 기본형,540만원,10년11월(10년형),"187,625km",디젤,오토,"2,199cc",흰색,없음,없음,6회,0,1,0,0,1,0,0,0
(114도6548)현대 쏘나타 뉴 라이즈 하이브리드2.0 HEV 스마트,"1,700만원",19년06월(19년형),"60,684km",하이브리드(가솔린),오토,"1,999cc",검정,없음,없음,2회,0,1,0,0,0,0,0,0
(33무2479)기아 K5 하이브리드럭셔리,530만원,13년05월(13년형),"179,736km",하이브리드(가솔린),오토,"1,999cc",회색,없음,없음,3회,0,0,0,0,0,0,0,0
(41다3100)기아 더 뉴 모하비4WD 프레지던트 7인승,"1,790만원",18년02월(18년형),"171,863km",디젤,오토,0cc,검정색,없음,없음,1회,0,1,1,0,0,1,0,0
(806오3962)현대 포터2초장축 더블캡 CRDi Premium,"2,370만원",23년04월(23년형),"15,238km",디젤,오토,"2,450cc",흰색,없음,없음,1회,0,1,0,1,1,1,1,1
(143우1475)기아 더 뉴 쏘렌토2.0 디젤 4WD 프레스티지,"1,780만원",17년09월(18년형),"69,972km",디젤,오토,0cc,회색,없음,없음,3회,0,1,1,0,0,1,0,0
(186머8245)기아 올 뉴 카니발9인승 2.2 디젤 럭셔리,"1,490만원",18년03월(18년형),"114,716km",디젤,오토,"2,199cc",검정색,없음,없음,2회,0,1,1,0,1,0,0,0
(151누2632)KG모빌리티 올 뉴 렉스턴2.2 4WD 프레스티지,"2,830만원",20년12월(21년형),"63,363km",디젤,오토,"2,157cc",흰색,없음,없음,1회,0,1,0,0,0,0,0,0
(311거7217)기아 올 뉴 K72.2 디젤 리미티드,"1,480만원",17년02월(17년형),"153,019km",디젤,오토,"2,199cc",검정색,없음,없음,4회,1,1,1,0,1,0,0,0
(89가6271)현대 포터2초장축 파워게이트 더블캡 SUP,"2,460만원",21년01월(21년형),"19,776km",디젤,오토,0cc,흰색,없음,없음,없음,0,0,0,0,0,1,0,0
(39주0785)기아 스포티지 4세대디젤 2.0 4WD 노블레스,"1,490만원",16년01월(16년형),"74,121km",디젤,오토,"1,995cc",흰색,없음,없음,4회,0,0,0,0,0,0,0,0
(01저9110)한국GM 올 뉴 말리부1.5 터보 LTZ,"1,230만원",17년05월(17년형),"83,017km",가솔린,오토,"1,490cc",검정색,없음,없음,1회,0,0,1,1,1,1,1,1
(54무0719)기아 올 뉴 카니발9인승 2.2 디젤 프레스티지,"1,450만원",16년05월(16년형),"164,915km",디젤,오토,"2,199cc",검정색,없음,없음,2회,1,1,1,0,1,0,0,0
(322조2658)현대 그랜저IG 하이브리드익스클루시브 스페셜,"2,630만원",19년10월(19년형),"70,968km",하이브리드(가솔린),오토,0cc,검정색,없음,없음,2회,0,0,0,0,0,1,0,0
(92거9348)기아 봉고31톤 냉온장차 초장축 킹캡 럭셔리,900만원,15년12월(16년형),"207,504km",디젤,수동,"2,497cc",흰색,없음,없음,1회,0,0,0,0,0,1,1,0
(233누5093)KG모빌리티 티볼리 아머1.6 디젤 기어2 드라이빙 기어 2WD,"1,199만원",18년07월(18년형),"73,675km",디젤,오토,"1,600cc",흰색,없음,없음,1회,0,1,1,1,1,1,1,1
(192마7429)한국GM 더 뉴 트랙스1.4 LT 코어,"1,280만원",20년08월(21년형),"63,868km",가솔린,오토,"1,362cc",회색,없음,없음,1회,0,0,1,1,1,0,1,0
(284루4186)기아 올 뉴 카니발9인승 2.2 디젤 하이리무진 노블레스,"1,830만원",16년11월(17년형),"176,893km",디젤,오토,"3,342cc",검정,없음,없음,3회,0,1,1,0,0,0,1,0
(149하8206)제네시스 G80(RG3)2.5 T-GDi AWD,"4,860만원",22년06월(22년형),"18,443km",가솔린,오토,"2,497cc",흰색,없음,없음,없음,0,1,1,1,1,1,1,1
(245머2381)기아 더 K93.8 GDI 4WD 플래티넘Ⅰ,"3,380만원",20년02월(20년형),"40,200km",가솔린,오토,"3,778cc",회색,없음,없음,1회,0,1,1,1,1,1,1,1
(252모1638)기아 모닝 어반 밴(JA)1.0 가솔린 밴 스페셜,599만원,20년11월(21년형),"113,602km",가솔린,오토,998cc,흰색,없음,없음,2회,0,0,0,0,0,0,0,0
(193도8104)현대 그랜저IG2.4 모던 기본형,"1,570만원",19년08월(19년형),"123,578km",가솔린,오토,"2,359cc",검정색,없음,없음,1회,0,1,1,1,1,1,1,0
(231조1070)기아 모하비 더마스터3.0 디젤 4WD 마스터즈,"3,550만원",20년01월(20년형),"82,040km",디젤,오토,"2,959cc",검정,없음,없음,3회,1,1,1,1,1,1,1,1
(34어1161)현대 그랜저HGHG300 프리미엄,740만원,13년09월(14년형),"189,899km",가솔린,오토,"2,999cc",은하색,없음,없음,2회,0,1,1,0,1,1,0,0
(38호1455)기아 더 뉴 K5 2세대2.0 가솔린 인텔리전트,"1,900만원",19년02월(19년형),"39,628km",가솔린,오토,"1,999cc",진주색,없음,없음,없음,0,1,1,1,1,1,1,1
(179무5618)KG모빌리티 베리 뉴 티볼리가솔린 리미티드 에디션 2WD,"1,555만원",20년09월(21년형),"61,777km",가솔린,오토,"1,497cc",흰색,없음,없음,1회,0,1,1,1,1,1,1,1
(156호1561)르노코리아 뉴 QM62.0 LPe 장애인용 LE,"1,820만원",21년04월(21년형),"53,069km",LPG,CVT,"1,998cc",회색,없음,없음,없음,0,1,1,1,1,1,1,0
(329머9698)현대 더 뉴 그랜저LPi 3.0 렌터카 프리미엄,"2,750만원",22년05월(22년형),"65,122km",LPG,오토,"2,999cc",회색,없음,없음,1회,0,1,1,1,1,0,1,1
(149구2279)기아 K5 3세대2.0 가솔린 프레스티지,"2,350만원",20년05월(20년형),"40,000km",가솔린,오토,"1,999cc",검정색,없음,없음,2회,1,1,1,1,1,1,1,1
(138고3222)기아 더 뉴 카니발9인승 2.2 디젤 프레스티지,"1,999만원",19년11월(19년형),"77,913km",디젤,오토,0cc,검정색,없음,없음,1회,0,0,0,0,0,1,0,0
(41저5923)현대 아반떼MDM16 GDi PREMIER,490만원,11년01월(11년형),"124,069km",가솔린,오토,0cc,흰색,없음,없음,4회,0,1,0,0,0,0,0,0
(223라1478)기아 더 뉴 카니발9인승 2.2 디젤 프레스티지,"2,150만원",20년03월(20년형),"103,434km",디젤,오토,"2,199cc",검정,없음,없음,1회,1,1,1,1,1,1,1,1
(36조1663)현대 투싼ix디젤 4WD LMX20 프리미엄,630만원,09년11월(10년형),"147,948km",디젤,오토,"1,995cc",쥐색,없음,없음,3회,1,1,1,0,1,1,1,0
(27오8276)현대 싼타페 DMR2.0 2WD PREMIUM 기본형,"1,090만원",13년04월(13년형),"111,538km",디젤,오토,"1,995cc",은색,없음,없음,2회,1,0,1,1,1,1,1,1
(815로8348)기아 봉고31톤 내장탑차 초장축 경제형 킹캡 디럭스,690만원,14년12월(14년형),"176,727km",디젤,수동,"2,497cc",흰색,없음,없음,5회,0,0,0,0,1,0,0,0
(250도2430)기아 더 뉴 쏘렌토2.0 디젤 4WD 마스터 스페셜,"2,050만원",19년10월(20년형),"110,091km",디젤,오토,"1,995cc",은색,없음,없음,1회,0,1,1,0,1,1,0,0
(94루8348)현대 포터2초장축 일반캡 내장탑차,"1,130만원",18년10월(18년형),"140,549km",디젤,오토,"2,497cc",흰색,없음,없음,3회,0,0,0,0,0,0,0,0
(183거4979)기아 카니발 4세대G3.5 GDI 7인승 노블레스,"3,490만원",22년07월(23년형),"32,925km",가솔린,오토,"3,470cc",파랑,없음,없음,1회,0,1,1,1,1,1,1,1
(68루6854)기아 쏘울 EVEV,"1,159만원",17년12월(18년형),"23,757km",전기,오토,0cc,흰색,없음,없음,1회,0,0,1,0,0,1,0,0
(83도6720)현대 포터2초장축 파워게이트 슈퍼캡 스마트,"1,720만원",20년01월(20년형),"39,000km",디젤,수동,"2,497cc",흰색,없음,없음,1회,0,0,0,0,1,1,1,1
(63모8362)한국GM 쉐보레 스파크LS+,320만원,11년03월(12년형),"106,951km",가솔린,오토,995cc,빨강색,없음,없음,5회,0,1,0,0,1,0,0,0
(391마5707)현대 코나1.6 터보 모던 팝,"1,510만원",19년10월(19년형),"96,689km",가솔린,오토,0cc,흰색,없음,없음,2회,0,1,1,1,1,1,1,1
(148버1392)현대 더 뉴 그랜저LPi 3.0 렌터카 프리미엄,"2,550만원",20년01월(20년형),"65,645km",LPG,오토,"2,999cc",흰색,없음,없음,1회,0,1,1,1,1,1,1,1
(33호8882)기아 더 뉴 카니발7인승 2.2 디젤 리무진 프레지던트,"2,550만원",19년01월(19년형),"28,978km",디젤,오토,"2,199cc",회색,없음,없음,없음,0,1,1,1,1,1,1,1
(42두1024)한국GM 마티즈 CREATIVEJAZZ 스타,230만원,10년07월(10년형),"173,916km",가솔린,오토,995cc,흰색,없음,없음,1회,0,0,0,0,1,0,0,0
(148버1311)현대 쏘나타 (DN8)2.0 프리미엄 패밀리,"1,790만원",20년03월(20년형),"93,370km",가솔린,오토,"1,999cc",회색,없음,없음,1회,0,0,0,0,0,1,0,0
(30마4167)현대 제네시스DHG380 익스클루시브 AWD,"1,290만원",14년01월(14년형),"197,647km",가솔린,오토,"3,778cc",검정색,없음,없음,4회,0,1,1,0,1,0,0,0
(153저2019)현대 쏘나타 하이브리드 (DN8)2.0 하이브리드 프리미엄 패밀리,"2,360만원",20년12월(21년형),"49,067km",하이브리드(가솔린),오토,"1,999cc",검정색,없음,없음,2회,1,1,1,1,1,1,1,0
(43라6026)현대 코나1.6 터보 4WD 모던 아트,"1,540만원",17년11월(18년형),"42,914km",가솔린,오토,"1,591cc",민트,없음,없음,1회,1,1,0,1,1,1,0,0
(357노2670)한국GM 트레일블레이저1.35 가솔린 2WD Premier,"1,850만원",20년09월(20년형),"64,254km",가솔린,오토,"1,341cc",흰색,없음,없음,2회,0,1,0,0,1,0,0,0
(143고3287)기아 K7 프리미어3.0 GDi 노블레스,"2,180만원",19년12월(20년형),"60,639km",가솔린,오토,"2,999cc",검정색,없음,없음,없음,1,1,1,1,1,1,1,0
(177버3051)한국GM 트래버스3.6 V6 Redline,"4,490만원",23년02월(23년형),"13,000km",가솔린,오토,"3,564cc",흰색,없음,없음,없음,0,0,0,0,0,0,0,0
(68도6644)현대 투싼ix디젤 2WD LX20 프리미어,550만원,10년01월(10년형),"177,125km",디젤,오토,"1,995cc",회색,없음,없음,3회,1,0,1,1,1,1,0,0
(61나6612)현대 싼타페 더 프라임디젤 R2.0 2WD 5인승 밸류플러스,"1,850만원",18년01월(18년형),"46,290km",디젤,오토,"1,995cc",파랑색,없음,없음,3회,1,1,1,1,0,1,1,0
(140하2535)기아 셀토스1.6 디젤 2WD 프레스티지,"1,730만원",20년03월(20년형),"55,456km",디젤,오토,"1,598cc",진주색,없음,없음,없음,1,1,1,1,1,1,1,0
(149호5995)제네시스 GV802.5 터보 가솔린 2WD,"4,810만원",21년02월(21년형),"71,000km",가솔린,오토,"2,497cc",회색,없음,없음,없음,1,1,1,1,1,1,1,0
(32가5310)기아 더 뉴 카니발9인승 2.2 디젤 럭셔리,"1,990만원",19년01월(19년형),"64,999km",디젤,오토,"2,198cc",흰색,없음,없음,없음,1,1,1,1,1,1,1,0
(34무8253)르노코리아 뉴SM5(신형)SE Plus BOSE Edition,380만원,12년07월(12년형),"152,097km",가솔린,오토,"1,998cc",진주색,없음,없음,3회,1,1,1,1,1,1,0,1
(193도8104)현대 그랜저IG2.4 모던 기본형,"1,570만원",19년08월(19년형),"123,578km",가솔린,오토,"2,359cc",검정색,없음,없음,1회,1,1,1,1,1,1,0,0
(803저8572)현대 포터2초장축 하이내장탑차 슈퍼캡 SUP,"2,370만원",23년03월(23년형),"5,646km",디젤,오토,"2,500cc",흰색,없음,없음,1회,0,0,1,1,1,1,1,0
(57버4033)기아 레이밴2인승밴 고급형,450만원,14년03월(14년형),"135,583km",가솔린,오토,998cc,회색,없음,없음,7회,1,0,0,1,1,0,0,0
(28다3217)현대 그랜저IG2.4 프리미엄 스페셜,"1,790만원",16년12월(17년형),"63,054km",가솔린,오토,"2,359cc",판테라그레이,없음,없음,1회,1,1,1,1,1,1,1,0
(10고9632)제네시스 G702.2D AWD Supreme,"1,830만원",18년04월(18년형),"145,758km",디젤,오토,"2,199cc",회색,없음,없음,없음,0,0,0,0,0,0,0,1
(35두9594)기아 올 뉴쏘렌토디젤 2.0 2WD 프레스티지,990만원,15년07월(15년형),"190,000km",디젤,오토,"1,995cc",검정색,없음,없음,3회,1,1,1,1,1,1,1,0
(240부1024)현대 그랜저IG렌터카 3.0 LPi 모던 기본형,"1,690만원",19년05월(19년형),"131,883km",LPG,오토,"2,999cc",검정색,없음,없음,1회,1,1,0,1,1,0,0,1
(08고1718)기아 뉴카렌스2.0 LPI GLX 최고급형,240만원,06년10월(07년형),"282,316km",LPG,오토,"1,998cc",회색,없음,없음,2회,0,0,1,1,1,1,0,1
(52나4620)현대 그랜저IG디젤 2.2 프리미엄 스페셜,"1,699만원",17년02월(17년형),"108,666km",디젤,오토,"2,199cc",검정,없음,없음,2회,0,0,0,1,1,1,1,0
(186머8245)기아 올 뉴 카니발9인승 2.2 디젤 럭셔리,"1,490만원",18년03월(18년형),"114,716km",디젤,오토,"2,199cc",검정색,없음,없음,2회,1,1,0,1,0,0,0,0
(36무2574)르노코리아 SM7 뉴아트SE,160만원,08년06월(08년형),"297,435km",가솔린,오토,"2,349cc",진주,없음,없음,10회,0,1,0,1,0,0,0,0
(156더8991)기아 셀토스1.6 가솔린 터보 2WD 프레스티지,"1,490만원",20년06월(20년형),"44,132km",가솔린,오토,"1,500cc",흰색,없음,없음,없음,0,1,1,1,1,1,1,0
(214거2441)기아 더 뉴 K5 2세대렌터카 2.0 LPI 럭셔리,"1,250만원",18년03월(18년형),"90,535km",LPG,오토,"1,999cc",흰색,없음,없음,1회,1,0,0,0,1,1,0,0
(244노3455)기아 더 뉴 카니발9인승 2.2 디젤 프레스티지,"2,290만원",19년09월(19년형),"55,949km",디젤,오토,"2,199cc",흰색,없음,없음,2회,1,1,1,1,1,1,1,0
(11러0124)르노코리아 QM62.0 4WD RE Signature,"1,300만원",16년11월(17년형),"102,786km",디젤,오토,"1,995cc",흰색,없음,없음,3회,1,1,1,1,1,1,1,0
(226노5929)현대 더 뉴 아반떼 ADSmartstream G1.6 스마트,"1,480만원",19년10월(20년형),"50,409km",가솔린,오토,"1,598cc",흰색,없음,없음,1회,1,1,1,1,1,1,0,0
(252모1692)현대 쏘나타 (DN8)2.0 프리미엄,"1,650만원",19년11월(20년형),"116,715km",가솔린,오토,"1,995cc",흰색,없음,없음,2회,1,1,1,1,1,1,1,0
(140호5556)기아 모하비 더마스터3.0 디젤 4WD 플래티넘,"3,250만원",20년04월(20년형),"80,000km",디젤,오토,"2,959cc",진주색,없음,없음,없음,1,1,1,1,1,1,1,0
(13로8439)기아 K5가솔린 2.0 프레스티지,550만원,11년03월(11년형),"117,698km",가솔린,오토,"1,998cc",진주색,없음,없음,1회,0,1,1,1,1,1,1,0
(13두8243)현대 벨로스터Extreme,520만원,11년05월(12년형),"88,000km",가솔린,오토,"1,591cc",노랑,없음,없음,5회,1,1,1,1,0,1,0,1
(95누8271)현대 포터2초장축 일반캡 CRDi HI-SUP 기본형,720만원,16년05월(17년형),"160,000km",디젤,수동,"1,000cc",파랑,없음,없음,1회,0,0,0,0,0,0,0,0
(380조1032)현대 쏘나타 (DN8)1.6 T 프리미엄 플러스,"2,650만원",22년09월(23년형),"12,730km",가솔린,오토,0cc,흰색,없음,없음,없음,1,1,0,0,1,0,0,0
(188너6976)현대 쏘나타 (DN8)2.0 LPG 렌터카 스타일,"1,430만원",19년10월(20년형),"103,114km",LPG,오토,"1,999cc",회색,없음,없음,3회,0,1,1,1,1,1,0,0
(348주1780)기아 카니발 4세대D2.2 9인승 시그니처,"3,150만원",20년08월(21년형),"86,152km",디젤,오토,"2,151cc",진주색,없음,없음,없음,0,0,0,0,0,0,0,0
(305도7144)제네시스 G803.3 GDI AWD 프리미엄 럭셔리,"2,350만원",16년12월(17년형),"93,617km",가솔린,오토,"3,342cc",쥐색,없음,없음,2회,1,1,0,1,0,0,0,0
(63서2810)기아 올 뉴 카니발9인승 2.2 디젤 노블레스 스페셜,"1,499만원",17년05월(18년형),"158,678km",디젤,오토,"2,199cc",진주색,없음,없음,2회,1,1,0,1,1,1,1,1
(75주5189)KG모빌리티 코란도 투리스모4WD GT 11인승,460만원,13년09월(14년형),"167,873km",디젤,오토,"1,998cc",와인색,없음,없음,3회,1,1,1,1,1,1,0,0
(238가2605)기아 더 뉴 쏘렌토2.0 디젤 2WD 노블레스,"2,199만원",19년06월(20년형),"60,086km",디젤,오토,"1,995cc",쥐색,없음,없음,1회,1,1,1,1,1,1,1,0
(258누4134)현대 쏘나타 하이브리드 (DN8)2.0 하이브리드 프리미엄 패밀리,"2,350만원",21년02월(21년형),"56,419km",하이브리드(가솔린),오토,"1,999cc",검정색,없음,없음,1회,1,1,1,1,1,1,1,0
(68구9150)기아 스포티지 R2WD 디젤 TLX 고급형,750만원,11년07월(12년형),"100,148km",디젤,오토,"1,995cc",흰색,없음,없음,4회,1,0,0,1,1,1,0,1
(30마4167)현대 제네시스DHG380 익스클루시브 AWD,"1,290만원",14년01월(14년형),"197,647km",가솔린,오토,"3,778cc",검정색,없음,없음,4회,1,1,0,1,0,0,0,0
(16무1709)현대 쏘나타 더 브릴리언트LPG 프리미엄 스페셜,730만원,14년02월(14년형),"80,661km",LPG,오토,"1,999cc",흰색,없음,없음,4회,1,1,1,1,1,1,1,1
(229우3649)현대 그랜저IG렌터카 3.0 LPi 모던 기본형,"1,670만원",17년06월(18년형),"68,190km",LPG,오토,"2,999cc",검정,없음,없음,3회,1,1,1,1,1,1,1,0
(140호5830)르노코리아 XM31.6 GTe LE+,"1,460만원",20년04월(20년형),"52,956km",가솔린,CVT,"1,598cc",흰색,없음,없음,없음,0,1,1,1,1,1,0,0
(81러6354)현대 포터2초장축 슈퍼캡 CRDi Smart,"1,680만원",21년03월(22년형),"27,509km",디젤,수동,"2,497cc",흰색,없음,없음,없음,0,0,0,0,0,0,0,0
(149호6749)기아 K7 프리미어2.5 GDi X 에디션,"2,650만원",21년03월(21년형),"53,143km",가솔린,오토,"2,497cc",회색,없음,없음,없음,1,1,1,1,1,1,1,0
(251구5635)현대 베뉴가솔린 1.6 모던,"1,690만원",19년11월(20년형),"27,253km",가솔린,오토,"1,598cc",파랑색,없음,없음,1회,1,1,0,0,1,0,0,0
(23구0670)현대 그랜저HGHG240 모던 컬렉션,"1,300만원",16년05월(17년형),"65,563km",가솔린,오토,"2,359cc",검정색,없음,없음,1회,1,1,1,1,1,1,1,0
(11어2857)현대 LF쏘나타 하이브리드2.0 HEV 모던,"1,430만원",15년07월(16년형),"100,477km",하이브리드,오토,"1,999cc",흰색,없음,없음,1회,0,0,0,0,0,0,0,0
(241누3321)현대 그랜저IG디젤 2.2 프리미엄 기본형,"1,340만원",16년12월(17년형),"126,269km",디젤,오토,"2,199cc",검정색,없음,없음,6회,0,0,0,0,0,0,0,0
(91노7540)현대 그랜드스타렉스5인승 밴 CVX 럭셔리,450만원,11년01월(11년형),"140,774km",디젤,오토,"2,497cc",회색,없음,없음,3회,0,0,1,1,1,1,0,0
(140호7679)기아 셀토스1.6 가솔린 터보 2WD 시그니처,"2,080만원",20년08월(21년형),"22,800km",가솔린,오토,"1,591cc",스노우 화이트 펄,없음,없음,없음,1,1,1,1,1,1,1,0
(140호2747)현대 쏘나타 (DN8)2.0 프리미엄,"1,800만원",20년02월(20년형),"54,873km",가솔린,오토,"1,999cc",회색,없음,없음,없음,1,1,1,1,1,1,0,0
(164가5108)현대 캐스퍼 밴1.0 터보 가솔린 스마트,"1,370만원",23년05월(23년형),"19,781km",가솔린,오토,998cc,회색,없음,없음,1회,0,0,1,1,0,0,0,0
(398버8526)현대 아반떼AD1.6 e-VGT 스마트,770만원,16년08월(17년형),"124,881km",디젤,오토,"1,582cc",회색,없음,없음,6회,0,0,1,1,1,1,0,0
(311모1481)현대 그랜저IG2.4 프리미엄 스페셜,"1,700만원",18년05월(19년형),"109,017km",가솔린,오토,"2,359cc",검정,없음,없음,2회,1,1,0,1,0,1,1,1
(53보8021)르노코리아 SM5 뉴임프레션LPLi SE,260만원,10년08월(10년형),"97,524km",LPG,오토,0cc,검정색,없음,없음,3회,1,0,0,0,1,0,0,0
(149하2385)기아 카니발 4세대G3.5 GDI 9인승 시그니처,"3,390만원",21년07월(21년형),"50,832km",가솔린,오토,"3,470cc",검정색,없음,없음,없음,1,1,1,1,1,1,1,1
(48어5387)한국GM 쉐보레 캡티바2WD LT 가솔린,799만원,11년12월(11년형),"127,200km",가솔린,오토,"2,384cc",회색,없음,없음,4회,1,0,0,1,1,1,0,1
(48다2210)르노코리아 SM5 노바RE 기본형,350만원,15년04월(15년형),"225,923km",가솔린,CVT,"1,998cc",검정색,없음,없음,8회,1,1,1,1,1,1,1,0
(32마2838)기아 더 뉴 레이1.0 가솔린 트렌디,820만원,18년11월(18년형),"92,459km",가솔린,오토,998cc,흰색,없음,없음,1회,1,0,0,1,1,1,0,0
(93저4077)현대 더 뉴 그랜드 스타렉스밴 5인승 모던,"1,980만원",20년07월(21년형),"75,681km",디젤,오토,"2,497cc",검정색,없음,없음,1회,1,0,1,1,1,1,1,0
(58저2357)르노코리아 뉴SM3SE,360만원,14년05월(14년형),"143,954km",가솔린,오토,"1,598cc",흰색,없음,없음,9회,1,0,0,1,1,1,0,0
(81러0732)현대 포터2초장축 더블캡 CRDi Smart,"1,700만원",18년12월(19년형),"34,749km",디젤,오토,0cc,흰색,없음,없음,없음,0,0,0,0,1,1,0,0
(223라1443)기아 더 뉴 카니발9인승 2.2 디젤 프레스티지,"2,150만원",20년02월(20년형),"92,878km",디젤,오토,"2,199cc",회색,없음,없음,1회,1,1,1,1,1,1,1,0
(81부5482)한국GM 뉴 라보롱카고DLX,580만원,16년05월(16년형),"68,880km",LPG,수동,550cc,파랑,없음,없음,6회,0,0,0,0,0,0,0,0
(19수2269)르노코리아 SM5 뉴임프레션LPLi LE Exclusive,300만원,09년10월(09년형),"126,668km",LPG,오토,"1,998cc",흰색,없음,없음,1회,0,0,0,0,0,0,0,1
(354소1640)현대 펠리세이드2.2 디젤 7인승 프레스티지,"3,050만원",20년01월(20년형),"96,501km",디젤,오토,"2,199cc",검정,없음,없음,1회,1,1,1,1,1,1,1,0
(140하2324)기아 셀토스1.6 가솔린 터보 4WD 노블레스,"2,190만원",20년02월(20년형),"55,868km",가솔린,오토,"1,591cc",진주색,없음,없음,없음,1,1,1,1,1,1,1,0
(89마3632)한국GM 리얼 뉴 콜로라도3.6L V6 4WD Extreme-X,"2,890만원",21년08월(21년형),"74,224km",가솔린,오토,"3,649cc",검정색,없음,없음,없음,1,0,1,1,1,1,0,0
(101나6994)현대 더 뉴 그랜저LPi 3.0 렌터카 모던,"2,350만원",20년04월(20년형),"100,618km",LPG,오토,"2,999cc",흰색,없음,없음,1회,1,1,1,1,1,1,0,0
(377노1860)르노코리아 XM31.6 GTe LE,"1,370만원",20년08월(20년형),"80,000km",가솔린,오토,"1,598cc",흰색,없음,없음,4회,1,1,0,1,1,0,0,0
(38어8652)한국GM 어메이징 뉴 크루즈2.0 디젤 LTZ,540만원,15년11월(15년형),"90,600km",디젤,오토,"1,998cc",흰색,없음,없음,2회,0,1,0,1,0,1,0,0
(149호3646)현대 펠리세이드3.8 가솔린 7인승 AWD 프레스티지,"3,100만원",20년07월(21년형),"75,842km",가솔린,오토,"3,778cc",흰색,없음,없음,없음,1,1,1,1,1,1,1,1
(90고6094)기아 봉고31톤 내장탑차 초장축 표준형 킹캡 디럭스,650만원,16년05월(16년형),"107,316km",디젤,수동,0cc,흰색,없음,없음,4회,0,0,0,0,1,0,0,0
(90거0853)한국GM 뉴 다마스 밴2인승 판넬밴 DLX,630만원,18년11월(19년형),"95,414km",LPG,수동,796cc,흰색,없음,없음,5회,1,0,0,0,0,0,0,0
(03라0566)한국GM 어메이징 뉴 크루즈2.0 디젤 LTZ,570만원,15년09월(15년형),"98,153km",디젤,오토,"1,998cc",흰색,없음,없음,5회,0,1,1,1,1,1,0,1
(329머9698)현대 더 뉴 그랜저LPi 3.0 렌터카 프리미엄,"2,750만원",22년05월(22년형),"65,122km",LPG,오토,"2,999cc",회색,없음,없음,1회,1,1,1,1,0,1,1,0
(279가5787)현대 펠리세이드3.8 가솔린 8인승 프레스티지,"2,950만원",21년05월(22년형),"88,380km",가솔린,오토,"3,778cc",회색,없음,없음,1회,0,0,0,0,0,0,0,0
(186보5492)기아 K5 2세대렌터카 2.0 LPI MX 럭셔리,660만원,16년02월(16년형),"164,888km",LPG,오토,"1,999cc",흰색,없음,없음,3회,0,0,0,0,0,0,0,0
(24더7868)한국GM 쉐보레 아베오LS 고급형,279만원,13년10월(14년형),"99,000km",가솔린,오토,"1,598cc",회색,없음,없음,4회,1,0,1,1,1,1,0,0
(97도1230)한국GM 뉴 다마스 밴2인승 판넬밴 DLX,790만원,21년05월(21년형),"46,417km",LPG,수동,0cc,흰색,없음,없음,2회,0,0,0,0,1,0,0,0
(37저1701)기아 스토닉가솔린 1.4 MPI 프레스티지,"1,450만원",18년02월(18년형),"34,717km",가솔린,오토,"1,400cc",노랑색,없음,없음,1회,1,1,1,1,1,1,0,0
(111오3089)현대 펠리세이드3.8 가솔린 7인승 AWD 프레스티지,"3,199만원",20년05월(20년형),"73,000km",가솔린,오토,0cc,파랑색,없음,없음,4회,0,0,0,0,1,0,0,1
(69라1272)기아 all new 모닝럭셔리 스포츠,520만원,11년10월(12년형),"119,862km",가솔린,오토,0cc,흰색,없음,없음,3회,1,1,0,0,1,0,0,0
(179무5618)KG모빌리티 베리 뉴 티볼리가솔린 리미티드 에디션 2WD,"1,555만원",20년09월(21년형),"61,777km",가솔린,오토,"1,497cc",흰색,없음,없음,1회,1,1,1,1,1,1,1,0
(94오0124)현대 더 뉴 그랜드 스타렉스밴 5인승 스마트,"1,890만원",19년12월(20년형),"51,805km",디젤,오토,"2,497cc",은색,없음,없음,2회,1,0,1,1,1,1,0,0
(251가5173)현대 싼타페 TM디젤 2.0 4WD 프레스티지,"2,240만원",19년01월(19년형),"100,517km",디젤,오토,"1,995cc",베이지색,없음,없음,2회,1,1,1,1,1,1,1,0
(258루8140)제네시스 G80(RG3)2.5 T-GDi AWD,"3,950만원",20년06월(21년형),"101,748km",가솔린,오토,"2,497cc",회색,없음,없음,2회,1,1,0,1,1,1,1,0
(53버6981)기아 스포티지 4세대디젤 2.0 2WD 노블레스 플러스,"1,650만원",18년05월(18년형),"83,320km",디젤,오토,"1,995cc",흰색,없음,없음,없음,1,1,1,1,1,1,1,0
