브랜드,차이름,가격,연식,주행거리,연료,변속기,배기량,색상,소유자변경,썬루프,내비게이션,스마트키,오토라이트,주차감지센서,열선시트,통풍시트,가죽시트,사고이력,사이트
KG모빌리티,코란도 투리스모 2.2 디젤 4WD  TX 9인승,"1,330만원",2017.08,"55,000 km",디젤,자동,"2,157 cc (178마력)",진주색, 0회,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,bobae
르노코리아,올 뉴 SM7 2.5 RE,329만원,2011.1,"140,000 km",가솔린,자동,"2,495 cc (190마력)",진회색,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0,bobae
기아,EV6 롱 레인지 2WD  에어,"3,050만원",2022.11,"84,119 km",전기,자동,111 cc (228마력),검정색,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
기아,카니발 4세대  3.5 가솔린 하이리무진  -,"5,990만원",2022.11,"22,600 km",가솔린,자동,"3,470 cc (294마력)",흰색,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
현대,아반떼MD 1.6 M16 럭셔리,349만원,2011.04,"179,000 km",가솔린,자동,"1,591 cc ()",흰색,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
현대,더 뉴 그랜저 하이브리드 2.4 HEV  프리미엄 초이스,"2,289만원",2020.12,"114,953 km",가솔린 하이브리드,자동,"2,359 cc (200마력)",검정색,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
제네시스,GV80 3.5 터보 AWD 7인승,"6,999만원",2022.02,"20,286 km",가솔린,자동,"3,470 cc (380마력)",흰색,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
제네시스,더 올 뉴 G80 2.5 터보,"3,590만원",2020.11,"40,469 km",가솔린,자동,"2,497 cc (304마력)",검정색,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
기아,카니발 4세대 3.5 가솔린 9인승 하이리무진 시그니처,"4,199만원",2020.12,"52,180 km",가솔린,자동,"3,470 cc (294마력)",검정색,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
기아,쏘렌토 4세대 2.2 디젤 2WD  프레스티지,"2,590만원",2020.05,"54,586 km",디젤,자동,"2,151 cc (202마력)",검정색,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
기아,더 뉴 카니발 2.2 디젤 9인승 노블레스 스페셜,"2,480만원",2019.11,"53,490 km",디젤,자동,"2,199 cc (202마력)",흰색,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
기아,올 뉴 카니발 2.2 디젤 9인승 노블레스,"1,730만원",2015.11,"75,226 km",디젤,자동,"2,199 cc (202마력)",검정색,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
제네시스,더 올 뉴 G80 2.5 터보,"5,190만원",2021.09,"11,024 km",가솔린,자동,"2,497 cc (304마력)",검정색,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
기아,올 뉴 K7 하이브리드 2.4 HEV 노블레스 스페셜,"2,570만원",2019.01,"49,578 km",가솔린 하이브리드,자동,"2,359 cc (199마력)",검정색,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
제네시스,GV80 3.0 디젤 AWD 5인승,"5,800만원",2020.03,"48,325 km",디젤,자동,"2,996 cc (278마력)",검정색,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
제네시스,GV80 3.0 디젤 AWD 5인승,"5,390만원",2020.1,"72,023 km",디젤,자동,"2,996 cc (278마력)",흰색,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
제네시스,G80 3.3 터보 AWD 스포츠,"2,899만원",2016.11,"70,050 km",가솔린,자동,"3,342 cc (370마력)",검정색,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
기아,스팅어 마이스터 2.5 터보 AWD 마스터즈,"2,799만원",2020.09,"57,230 km",가솔린,자동,"2,497 cc (304마력)",청색,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
제네시스,G80 3.3 AWD 럭셔리,"2,690만원",2016.07,"29,535 km",가솔린,자동,"3,342 cc (282마력)",흰색,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
제네시스,GV70 3.5 터보 AWD,"4,590만원",2022.05,"50,000 km",가솔린,자동,"3,470 cc (380마력)",검정색,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
기아,쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD 노블레스,"3,690만원",2022.01,"41,355 km",가솔린 하이브리드,자동,"1,598 cc (230마력)",흰색,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
기아,더 뉴 카니발 3.3 가솔린 9인승 하이리무진 노블레스 스페셜,"3,220만원",2019.1,"50,000 km",디젤,자동,"3,342 cc (280마력)",흰색,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
제네시스,더 올 뉴 G80 3.5 터보 스포츠팩,"5,150만원",2021.11,"23,425 km",가솔린,자동,"3,470 cc (380마력)",검정색,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
현대,싼타페TM 2.0 가솔린 터보 2WD 인스퍼레이션,"2,630만원",2018.1,"43,619 km",가솔린,자동,"1,998 cc (235마력)",검정색,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
제네시스,G70 3.3 터보 AWD 스포츠 프레스티지,"3,420만원",2020.06,"38,961 km",가솔린,자동,"3,342 cc (370마력)",진회색,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
제네시스,더 올 뉴 G80 3.5 터보 AWD,"5,900만원",2022.01,"45,026 km",가솔린,자동,"3,470 cc (380마력)",흰색,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
현대,올 뉴 아반떼 1.6 터보 N 라인 인스퍼레이션,"2,200만원",2021.03,"26,823 km",가솔린,자동,"1,598 cc (204마력)",흰색,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
제네시스,더 올 뉴 G80 2.2 디젤,"4,720만원",2020.12,"45,994 km",디젤,자동,"2,151 cc (210마력)",흰색,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
제네시스,더 올 뉴 G80 3.5 터보 AWD,"4,950만원",2021.01,"53,922 km",가솔린,자동,"3,470 cc (380마력)",검정색,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
제네시스,GV80 3.0 디젤 AWD 5인승,"4,590만원",2020.05,"92,425 km",디젤,자동,"2,996 cc (278마력)",검정색,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
기아,더 뉴 카니발 2.2 디젤 9인승 하이리무진 노블레스 스페셜,"3,299만원",2018.11,"42,059 km",디젤,자동,"2,199 cc (202마력)",검정색,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
제네시스,GV70 2.5 터보 AWD  스포츠,"4,950만원",2022.01,"29,382 km",가솔린,자동,"2,497 cc (304마력)",흰색,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
기아,더 뉴 카니발 3.3 가솔린 9인승 하이리무진 노블레스 스페셜,"3,170만원",2018.06,"36,773 km",가솔린,자동,"3,342 cc (280마력)",검정색,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
기아,쏘렌토 4세대 하이브리드 1.6 터보 HEV 4WD 그래비티,"4,120만원",2021.08,"32,882 km",가솔린 하이브리드,자동,"1,598 cc (230마력)",검정색,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
기아,더 K9 3.8 AWD  플래티넘Ⅱ,"3,099만원",2018.06,"41,731 km",가솔린,자동,"3,778 cc (315마력)",흰색,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
제네시스,GV80 3.0 디젤 AWD 7인승,"6,799만원",2022.01,"48,484 km",디젤,자동,"2,996 cc (278마력)",흰색,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
제네시스,GV80 3.0 디젤 AWD 5인승,"5,600만원",2020.1,"48,450 km",디젤,자동,"2,996 cc (278마력)",검정색,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
제네시스,GV80 3.0 디젤 AWD 5인승,"5,980만원",2020.02,"46,273 km",디젤,자동,"2,996 cc (278마력)",검정색,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
현대,더 뉴 그랜저 2.5 캘리그래피,"3,350만원",2021.01,"49,819 km",가솔린,자동,"2,497 cc (198마력)",흰색,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
제네시스,GV80 2.5 터보 AWD 5인승,"7,399만원",2022.05,"4,839 km",가솔린,자동,"2,497 cc (304마력)",검정색,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
제네시스,더 올 뉴 G80 3.5 터보,"3,770만원",2020.1,"79,645 km",가솔린,자동,"3,470 cc (380마력)",검정색,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
현대,더 뉴 그랜저 2.5 캘리그래피,"2,640만원",2020.06,"60,438 km",가솔린,자동,"2,497 cc (198마력)",검정색,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
현대,아반떼 N 2.0 터보,"2,799만원",2022.09,"33,439 km",가솔린,자동,"1,998 cc (280마력)",흰색,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
기아,쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD 그래비티,"3,570만원",2020.1,"53,364 km",가솔린 하이브리드,자동,"1,598 cc (230마력)",흰색,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,bobae
기아,올 뉴 K7 하이브리드 2.4 HEV 노블레스 스페셜,"2,590만원",2018.12,"76,062 km",가솔린 하이브리드,자동,"2,359 cc (199마력)",흰색,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,bobae
