차종,가격,연식,주행거리,연료,변속기,색상,배기량,소유자변경,사고이력,열선시트,통풍시트,내비게이션,스마트키,썬루프,오토라이트,주차감지센서,가죽시트
르노코리아(삼성) QM6 가솔린 2WD RE,"1,390만원",17년 12월식(18년형),"106,507km",가솔린,,흰색,"1,997cc",1,단순수리,1,1,0,1,0,0,0,1
기아 올 뉴 쏘렌토 디젤 2.2 2WD 노블레스,"1,510만원",16년 2월식,"112,815km",디젤,,흰색,"2,199cc",4,무사고,1,1,1,1,0,0,0,0
BMW X1 (F48) xDrive 20d 조이,"2,030만원",18년 11월식,"73,557km",디젤,,은색,"1,995cc",4,단순수리,1,0,1,1,0,0,0,0
현대 쏘나타 뉴 라이즈 2.0 터보 익스클루시브,"2,090만원",17년 7월식(18년형),"62,877km",가솔린,,흰색,"1,998cc",6,무사고,1,1,1,0,0,0,0,0
기아 더 뉴 카니발 9인승 프레스티지,"2,380만원",20년 3월식,"48,954km",디젤,,검정색,"2,199cc",1,무사고,1,1,1,0,0,0,0,0
현대 아반떼 (CN7) 가솔린 1.6 모던,"1,800만원",20년 6월식(21년형),"32,750km",가솔린,,쥐색,"1,598cc",1,단순수리,1,1,1,1,0,0,0,0
현대 더 뉴 팰리세이드 디젤 2.2 2WD 프레스티지,"3,970만원",22년 8월식(23년형),"19,864km",디젤,,흰색,"2,199cc",1,무사고,1,1,1,0,0,0,0,0
현대 싼타페 TM 디젤 2.0 2WD 모던,"1,890만원",18년 9월식(19년형),"62,255km",디젤,,은색,"1,995cc",1,무사고,1,0,1,1,0,0,0,0
지프 레니게이드 2.4 론지튜드,"1,180만원",15년 10월식,"59,853km",가솔린,,주황색,"2,360cc",1,단순수리,1,0,0,1,0,0,0,0
렉서스 뉴 ES300h 슈프림+ XV60,"3,170만원",18년 1월식,"54,574km",가솔린+전기,,검정색,"2,494cc",6,무사고,1,1,1,1,0,0,0,0
BMW 3시리즈 (F30) 320d M 스포츠,"1,910만원",17년 7월식,"106,444km",디젤,,흰색,"1,995cc",3,무사고,1,0,1,1,0,0,0,0
포드 익스플로러 2.3 리미티드 4WD 5세대,"1,990만원",18년 10월식,"110,779km",가솔린,,쥐색,"2,261cc",4,무사고,1,1,1,1,0,0,0,0
현대 쏘나타 하이브리드 2.0 프리미엄,870만원,14년 5월식,"135,459km",가솔린+전기,,흰색,"1,999cc",1,사고,1,1,1,1,0,0,0,0
기아 K3 트렌디,890만원,14년 3월식,"65,029km",가솔린,,흰색,"1,591cc",3,단순수리,1,0,1,1,0,0,0,1
현대 포터2 CRDi 특장 내장탑차 (하이) 초장축 슈퍼캡 스마트,"2,200만원",22년 10월식,"45,366km",디젤,,흰색,"2,497cc",1,무사고,1,1,0,0,0,0,0,1
현대 더 뉴 그랜저 가솔린 2.5 프리미엄 초이스,"2,310만원",20년 2월식,"73,044km",가솔린,,흰색,"2,497cc",3,단순수리,1,1,1,0,0,0,0,0
벤츠 E-클래스 W213 E220d 아방가르드,"3,150만원",18년 1월식,"52,500km",디젤,,흰색,"1,950cc",0,무사고,1,0,1,1,0,0,0,0
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,"2,150만원",18년 4월식,"64,339km",가솔린,,흰색,"2,359cc",4,단순수리,1,1,1,1,0,0,0,0
르노코리아(삼성) 클리오 인텐스 파노라믹,890만원,19년 7월식,"62,816km",디젤,,빨간색,"1,461cc",1,단순수리,1,0,1,1,0,0,0,0
기아 스포티지 더 볼드 디젤 1.6 2WD 프레스티지,"1,740만원",19년 1월식,"74,562km",디젤,,흰색,"1,598cc",3,무사고,1,1,1,1,0,0,0,0
기아 스포티지 4세대 디젤 2.0 2WD 노블레스 스페셜,"1,630만원",15년 11월식(16년형),"80,120km",디젤,,흰색,"1,995cc",1,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 모하비 디젤 3.0 4WD VIP,"2,080만원",17년 2월식,"95,814km",디젤,,검정색,"2,959cc",2,무사고,1,1,1,1,0,0,0,0
기아 올 뉴 모닝 (JA) 럭셔리,880만원,19년 2월식,"45,590km",가솔린,,쥐색,998cc,3,단순수리,1,0,1,1,0,0,0,1
현대 싼타페 TM 디젤 2.2 2WD 프레스티지,"2,280만원",19년 2월식,"68,900km",디젤,,은색,"2,199cc",1,무사고,1,1,1,1,0,0,0,0
현대 쏘나타 DN8 하이브리드 프리미엄 패밀리,"2,140만원",20년 12월식(21년형),"84,547km",가솔린+전기,,검정색,"1,999cc",3,무사고,1,1,1,1,0,0,0,0
현대 포터2 CRDi 카고 초장축 더블캡  프리미엄,"1,520만원",19년 4월식,"99,845km",디젤,,흰색,"2,497cc",1,무사고,1,0,0,0,0,0,0,1
현대 싼타페 TM 디젤 2.2 2WD 프레스티지,"2,710만원",19년 3월식,"45,339km",디젤,,쥐색,"2,199cc",3,무사고,1,1,1,0,0,0,0,0
현대 포터2 CRDi 카고 초장축 슈퍼캡  스마트,"1,150만원",17년 4월식,"44,952km",디젤,,청색,"2,497cc",2,무사고,1,0,0,0,0,0,0,1
르노코리아(삼성) XM3 가솔린 1.6 SE,"1,340만원",21년 2월식,"35,106km",가솔린,,흰색,"1,598cc",1,단순수리,0,0,1,0,0,0,0,0
현대 더 뉴 그랜저 가솔린 2.5 프리미엄 초이스,"2,230만원",20년 12월식(21년형),"80,453km",가솔린,,청색,"2,497cc",2,무사고,1,0,1,1,0,0,0,1
기아 더 뉴 쏘렌토 가솔린 2.0 터보 2WD 노블레스,"2,230만원",19년 3월식(20년형),"70,585km",가솔린,,흰색,"1,998cc",1,단순수리,1,1,1,1,0,0,0,0
기아 더 뉴 카니발 9인승 럭셔리,"1,970만원",20년 1월식,"45,842km",디젤,,흰색,"2,199cc",1,무사고,1,1,1,1,0,0,0,0
현대 더 뉴 싼타페 디젤 2.2 2WD 캘리그래피,"2,930만원",20년 11월식(21년형),"72,020km",디젤,,흰색,"2,151cc",2,단순수리,1,1,1,0,0,0,0,0
기아 더 K9 3.8 GDI 플래티넘Ⅰ,"2,450만원",19년 1월식,"106,859km",가솔린,,쥐색,"3,778cc",6,무사고,1,1,1,1,0,0,0,0
기아 올 뉴 쏘렌토 디젤 2.2 4WD 노블레스 스페셜,"1,610만원",15년 12월식(16년형),"116,593km",디젤,,검정색,"2,199cc",1,단순수리,1,1,1,1,0,0,0,0
현대 싼타페 더 프라임 디젤 2.0 2WD 프리미엄,"1,180만원",15년 7월식(16년형),"117,469km",디젤,,은색,"1,995cc",1,단순수리,1,0,1,1,0,0,0,1
현대 더 뉴 싼타페 디젤 2.2 2WD 프레스티지,"2,750만원",20년 8월식(21년형),"48,596km",디젤,,쥐색,"2,151cc",2,무사고,1,1,1,1,0,0,0,0
제네시스 G80 3.3 GDI 프리미엄 럭셔리,"2,570만원",18년 7월식,"102,250km",가솔린,,검정색,"3,342cc",4,무사고,1,1,1,0,0,0,0,0
쉐보레(GM대우) 올 뉴 말리부 2.0 터보 LT 프리미엄,"1,250만원",17년 11월식,"81,584km",가솔린,,검정색,"1,998cc",0,무사고,1,0,0,1,0,0,0,0
기아 더 뉴 쏘렌토 디젤 2.0 2WD 마스터,"2,060만원",20년 2월식,"71,348km",디젤,,흰색,"1,995cc",1,단순수리,1,1,1,1,0,0,0,0
르노코리아(삼성) SM3 네오 SE 플러스,490만원,15년 2월식,"144,033km",가솔린,,쥐색,"1,598cc",1,무사고,1,0,0,1,0,0,0,0
현대 쏘나타 뉴 라이즈 2.0 스마트 스페셜,"1,460만원",19년 1월식,"104,022km",가솔린,,검정색,"1,999cc",1,무사고,1,1,1,1,0,0,0,0
기아 올 뉴 K3 트렌디,"1,320만원",20년 5월식,"34,449km",가솔린,,흰색,"1,598cc",1,무사고,1,0,1,1,0,0,0,1
제네시스 더 뉴 G70 가솔린 터보 2.0 2WD,"4,050만원",21년 1월식,"23,946km",가솔린,,청색,"1,998cc",1,단순수리,1,1,1,0,0,0,0,0
제네시스 G70 3.3T 스포츠 AWD 프레스티지,"2,700만원",19년 2월식,"103,564km",가솔린,,청색,"3,342cc",2,무사고,1,1,1,1,0,0,0,0
현대 그랜저 HG HG240 럭셔리,630만원,11년 2월식,"130,353km",가솔린,,은색,"2,359cc",3,단순수리,1,0,1,1,0,0,0,1
현대 아반떼 (CN7) LPG 1.6 (렌터카/장애인용) 스타일,"1,490만원",21년 6월식,"42,541km",LPG,,흰색,"1,591cc",1,무사고,0,0,1,0,0,0,0,1
쉐보레(GM대우) 더 넥스트 스파크 LTZ,730만원,16년 3월식,"59,575km",가솔린,,진주색,999cc,3,무사고,1,0,0,1,0,0,0,1
쉐보레(GM대우) 더 뉴 스파크 프리미어,"1,160만원",22년 8월식,"17,587km",가솔린,,흰색,999cc,3,단순수리,1,0,0,1,0,0,0,0
제네시스 G80 3.3 GDI AWD 럭셔리,"1,270만원",16년 10월식(17년형),"241,512km",가솔린,,은색,"3,342cc",0,단순수리,1,1,1,1,0,0,0,0
현대 싼타페 TM 디젤 2.2 4WD 프레스티지,"2,580만원",18년 9월식(19년형),"51,128km",디젤,,검정색,"2,199cc",3,무사고,1,1,1,0,0,0,0,0
기아 올 뉴 K3 럭셔리,"1,520만원",19년 11월식(20년형),"22,283km",가솔린,,청색,"1,598cc",1,무사고,1,1,0,1,0,0,0,0
기아 니로 프레스티지,"1,270만원",16년 4월식(17년형),"142,956km",가솔린+전기,,흰색,"1,580cc",1,무사고,1,1,1,1,0,0,0,0
쉐보레(GM대우) 더 넥스트 스파크 LTZ,820만원,16년 2월식,"21,770km",가솔린,,진주색,999cc,2,단순수리,1,0,0,1,0,0,0,0
지프 레니게이드 2.4 리미티드,"1,990만원",19년 5월식,"42,227km",가솔린,,흰색,"2,360cc",1,무사고,1,0,1,1,0,0,0,0
현대 올 뉴 투싼 TL 디젤 2.0 AWD 프리미엄,"2,020만원",18년 11월식(19년형),"90,095km",디젤,,흰색,"1,995cc",2,단순수리,1,1,1,0,0,0,0,0
현대 그랜저 IG 2.4 프리미엄 스페셜,"2,190만원",18년 1월식,"49,809km",가솔린,,쥐색,"2,359cc",2,단순수리,1,1,1,1,0,0,0,0
기아 레이 럭셔리,890만원,16년 4월식,"69,137km",가솔린,,연두색,998cc,2,무사고,1,0,0,1,0,0,0,1
기아 더 뉴 프라이드 4DR 1.6 GDI 럭셔리,830만원,15년 6월식,"51,203km",가솔린,,흰색,"1,591cc",1,무사고,1,0,1,1,0,0,0,1
쉐보레(GM대우) 트랙스 크로스오버 터보 1.2 RS,"2,510만원",23년 9월식(24년형),"12,607km",가솔린,,흰색,"1,199cc",1,무사고,1,1,0,1,0,0,0,0
기아 카니발 (4세대) 가솔린 3.5 (9인승) 시그니처,"3,530만원",22년 4월식,"69,959km",가솔린,,흰색,"3,470cc",1,무사고,1,1,1,0,0,0,0,0
벤츠 CLS-클래스 W218 CLS250 d 4MATIC,"2,280만원",17년 3월식,"143,217km",디젤,,쥐색,"2,143cc",3,무사고,1,0,1,1,0,0,0,0
제네시스 G80 3.3 GDI 법인전용,"2,550만원",18년 1월식,"105,025km",가솔린,,검정색,"3,342cc",4,무사고,1,1,1,0,0,0,0,0
현대 캐스퍼 가솔린 1.0 터보 스마트,"1,260만원",21년 11월식(22년형),"24,142km",가솔린,,담녹색,998cc,3,무사고,1,0,1,0,0,0,0,0
현대 포터2 CRDi 카고 초장축 더블캡  스마트,"1,520만원",20년 11월식(21년형),"78,303km",디젤,,흰색,"2,497cc",1,무사고,1,0,0,0,0,0,0,1
기아 더 뉴 기아 레이 시그니처,"1,680만원",22년 10월식(23년형),"8,426km",가솔린,,진주색,998cc,3,무사고,1,1,0,1,0,0,0,0
쉐보레(GM대우) 볼트 EV EV 프리미어,"2,190만원",19년 11월식,"29,534km",전기,,흰색,174cc,3,무사고,1,0,0,1,0,0,0,0
현대 쏘나타 DN8 하이브리드 프리미엄 패밀리,"2,200만원",21년 2월식,"88,200km",가솔린+전기,,검정색,"1,999cc",3,무사고,1,1,1,1,0,0,0,0
기아 K7 프리미어 가솔린 2.5 스페셜,"2,390만원",20년 3월식,"93,967km",가솔린,,청색,"2,497cc",1,단순수리,1,1,1,0,0,0,0,0
기아 더 뉴 레이 시그니처,"1,580만원",22년 5월식,"10,644km",가솔린,,검정색,998cc,1,무사고,1,0,1,1,0,0,0,0
제네시스 G80 3.3 GDI 럭셔리,"1,880만원",16년 11월식(17년형),"107,853km",가솔린,,검정색,"3,342cc",2,무사고,1,1,1,1,0,0,0,0
기아 올 뉴 모닝 (JA) 프레스티지,880만원,17년 2월식,"67,013km",가솔린,,검정색,998cc,2,무사고,1,0,1,1,0,0,0,1
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 프레스티지,"3,260만원",21년 6월식,"39,453km",가솔린+전기,,청색,"1,598cc",1,무사고,1,1,1,1,0,0,0,0
쉐보레(GM대우) 스파크 타투 에디션,390만원,12년 11월식,"75,709km",가솔린,,분홍색,995cc,2,무사고,1,0,0,0,0,0,0,1
기아 스토닉 1.0 터보 프레스티지,"1,650만원",19년 3월식,"23,756km",가솔린,,흰색,998cc,1,무사고,1,1,1,1,0,0,0,0
쉐보레(GM대우) 트랙스 1.4 LTZ,670만원,14년 8월식,"98,026km",가솔린,,흰색,"1,362cc",4,사고,1,0,1,0,0,0,0,1
현대 아이오닉 하이브리드 I 세부등급 없음,"1,250만원",18년 2월식,"99,199km",가솔린+전기,,은색,"1,580cc",1,무사고,0,0,1,0,0,0,0,0
기아 쏘울 부스터 1.6 T-GDI 노블레스,"1,450만원",19년 3월식,"95,595km",가솔린,,쥐색,"1,591cc",3,단순수리,1,1,1,1,0,0,0,0
제네시스 GV70 가솔린 터보 2.5 AWD,"5,190만원",21년 1월식,"41,818km",가솔린,,검정색,"2,497cc",1,무사고,1,1,1,0,0,0,0,0
기아 더 뉴 카니발 9인승 럭셔리,"1,450만원",20년 1월식,"162,053km",디젤,,검정색,"2,199cc",2,무사고,1,1,1,1,0,0,0,0
제네시스 G80 3.3 GDI AWD 프레스티지,"2,650만원",18년 1월식,"136,625km",가솔린,,쥐색,"3,342cc",1,무사고,1,1,1,0,0,0,0,0
기아 디 올 뉴 스포티지 1.6 가솔린 터보 2WD 시그니처,"3,250만원",23년 1월식,"15,403km",가솔린,,흰색,"1,598cc",1,단순수리,1,1,1,1,0,0,0,0
기아 스팅어 2.0 터보 2WD 플래티넘,"1,850만원",19년 3월식,"168,032km",가솔린,,빨간색,"1,998cc",3,무사고,1,1,1,0,0,0,0,0
현대 LF 쏘나타 2.0 스타일 세부등급 없음,850만원,15년 7월식,"116,221km",가솔린,,진주색,"1,999cc",0,사고,1,0,1,0,0,0,0,1
현대 스타리아 디젤 2.2 카고 3인승 모던,"2,950만원",23년 4월식,"3,648km",디젤,,쥐색,"2,199cc",1,무사고,1,0,1,1,0,0,0,0
현대 쏘나타 뉴 라이즈 LPI 모던,"1,290만원",17년 12월식(18년형),"94,036km",LPG,,흰색,"1,999cc",3,무사고,1,0,0,1,0,0,0,1
미니 쿠퍼 (3세대 F/L) 젠 Z 에디션,"2,220만원",21년 9월식(22년형),"18,990km",가솔린,,쥐색,"1,499cc",2,무사고,1,0,0,1,0,0,0,1
현대 LF 쏘나타 하이브리드 2.0 HEV 프리미엄,"1,280만원",15년 2월식,"106,959km",가솔린+전기,,쥐색,"1,999cc",3,단순수리,1,1,0,1,0,0,0,0
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,"1,750만원",18년 1월식,"109,943km",가솔린,,흰색,"2,359cc",1,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 레이 밴 (2인승) 럭셔리,850만원,20년 1월식,"46,794km",가솔린,,진주색,998cc,1,무사고,0,0,0,0,0,0,0,0
기아 K5 3세대 LPG 2.0 (렌터카) 스탠다드,"1,630만원",20년 2월식,"40,853km",LPG,,흰색,"1,999cc",3,무사고,1,0,0,1,0,0,0,1
현대 아반떼 (CN7) 가솔린 1.6 인스퍼레이션,"2,170만원",22년 3월식,"5,392km",가솔린,,흰색,"1,598cc",2,사고,1,1,1,1,0,0,0,0
기아 올 뉴 쏘울 1.6 GDi 노블레스 브라운존,"1,060만원",14년 5월식,"80,100km",가솔린,,진주색,"1,591cc",5,단순수리,1,1,1,1,0,0,0,0
기아 더 뉴 봉고III 트럭 EV 카고 1톤 2WD 초장축 킹캡 GLS,"1,580만원",20년 10월식,"96,153km",전기,,청색,180cc,1,무사고,1,1,1,1,0,0,0,0
현대 쏘나타 DN8 1.6 터보 인스퍼레이션,"1,930만원",19년 12월식(20년형),"111,352km",가솔린,,검정색,"1,598cc",1,무사고,1,1,1,0,0,0,0,0
KG모빌리티(쌍용) G4 렉스턴 디젤 2.2 4WD 마제스티,"1,940만원",18년 2월식,"96,680km",디젤,,검정색,"2,157cc",1,무사고,1,1,1,1,0,0,0,0
현대 포터2 CRDi 카고 초장축 슈퍼캡  스마트,"2,050만원",23년 2월식,"21,528km",디젤,,흰색,"2,497cc",1,무사고,1,0,0,0,0,0,0,1
미니 쿠퍼 컨트리맨(2세대 F/L) T1,"3,270만원",22년 12월식(23년형),"4,599km",가솔린,,검정색,"1,499cc",1,무사고,1,0,0,1,0,0,0,0
벤츠 B-클래스 W246 B220,"1,800만원",18년 6월식,"73,131km",가솔린,,흰색,"1,991cc",3,무사고,1,0,0,1,0,0,0,1
현대 더 뉴 그랜저 하이브리드 가솔린 2.4 하이브리드 르블랑,"3,680만원",22년 3월식,"46,156km",가솔린+전기,,흰색,"2,359cc",1,무사고,1,1,1,0,0,0,0,0
지프 레니게이드 2.4 리미티드,"2,120만원",21년 10월식,"30,270km",가솔린,,쥐색,"2,360cc",3,단순수리,1,0,1,1,0,0,0,0
현대 그랜저 IG 2.4 모던,"1,840만원",18년 10월식(19년형),"68,067km",가솔린,,흰색,"2,359cc",1,단순수리,1,0,1,1,0,0,0,0
쉐보레(GM대우) 트레일블레이저 1.3 가솔린 터보 2WD RS,"2,130만원",22년 2월식,"25,512km",가솔린,,빨간색,"1,341cc",1,무사고,1,1,1,1,0,0,0,0
기아 디 올 뉴 스포티지 하이브리드 가솔린 터보 1.6 2WD 시그니처 그래비티,"3,450만원",22년 3월식,"53,630km",가솔린+전기,,검정색,"1,598cc",1,단순수리,1,1,1,0,0,0,0,0
제네시스 G70 2.0T 슈프림,"2,190만원",17년 11월식(18년형),"76,145km",가솔린,,흰색,"1,998cc",5,단순수리,1,1,1,1,0,0,0,0
기아 더 뉴 카니발 9인승 노블레스,"2,400만원",18년 11월식(19년형),"54,711km",디젤,,검정색,"2,199cc",2,무사고,1,1,1,1,0,0,0,0
기아 쏘렌토 4세대 디젤 2.2 2WD 시그니처,"2,830만원",20년 6월식(21년형),"57,012km",디젤,,청색,"2,151cc",4,무사고,1,1,1,0,0,0,0,0
기아 K7 프리미어 가솔린 2.5 노블레스,"2,190만원",19년 8월식(20년형),"40,281km",가솔린,,흰색,"2,497cc",3,사고,1,1,1,1,0,0,0,0
쉐보레(GM대우) 스파크 LT 기본형,370만원,14년 1월식,"68,878km",가솔린,,보라색,995cc,3,단순수리,1,0,1,0,0,0,0,1
현대 포터2 CRDi 카고 초장축 슈퍼캡  스마트,"1,120만원",17년 4월식,"42,692km",디젤,,청색,"2,497cc",1,무사고,1,0,0,0,0,0,0,1
기아 더 뉴 K3 트렌디 세부등급 없음,"1,020만원",18년 4월식,"69,756km",가솔린,,은색,"1,591cc",2,무사고,1,0,0,0,0,0,0,1
기아 더 뉴 레이 럭셔리,910만원,20년 1월식,"76,480km",가솔린,,하늘색,998cc,2,단순수리,1,0,0,1,0,0,0,1
제네시스 더 뉴 G70 가솔린 터보 2.0 스포츠 패키지 AWD,"4,030만원",21년 4월식,"31,021km",가솔린,,쥐색,"1,998cc",0,무사고,1,1,1,0,0,0,0,0
기아 더 뉴 K7 2.4 GDI 프레스티지,"1,050만원",14년 9월식(15년형),"85,993km",가솔린,,흰색,"2,359cc",4,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 K5 럭셔리 트랜디,790만원,13년 10월식(14년형),"109,009km",가솔린,,검정색,"1,999cc",4,사고,1,0,1,1,0,0,0,1
쉐보레(GM대우) 올 뉴 말리부 2.0 터보 퍼펙트 블랙,"1,840만원",18년 8월식,"36,844km",가솔린,,검정색,"1,998cc",2,무사고,1,1,1,1,0,0,0,0
현대 그랜저 IG 2.4 프리미엄 세부등급 없음,"1,950만원",18년 12월식(19년형),"37,445km",가솔린,,검정색,"2,359cc",3,무사고,1,1,1,1,0,0,0,0
현대 더 뉴 그랜드 스타렉스 밴 3인승 스마트,"1,850만원",19년 11월식(20년형),"82,112km",디젤,,흰색,"2,497cc",1,무사고,1,0,0,0,0,0,0,1
현대 그랜저 뉴 럭셔리 Q270 디럭스,420만원,09년 1월식,"101,286km",가솔린,,검정색,"2,656cc",1,무사고,1,0,0,0,0,0,0,1
기아 더 뉴 레이 프레스티지,"1,300만원",21년 7월식(22년형),"11,938km",가솔린,,흰색,998cc,1,단순수리,1,0,0,1,0,0,0,1
기아 더 뉴 레이 시그니처,"1,420만원",21년 2월식,"31,568km",가솔린,,검정색,998cc,3,무사고,1,0,1,1,0,0,0,0
현대 캐스퍼 가솔린 1.0 모던,"1,520만원",23년 1월식,"10,683km",가솔린,,담녹색,998cc,1,무사고,1,1,1,1,0,0,0,0
기아 모하비 4WD KV300 세부등급 없음,"1,570만원",15년 3월식,"117,726km",디젤,,검정색,"2,959cc",1,단순수리,1,1,1,1,0,0,0,0
재규어 E-PACE P250 S,"2,100만원",18년 12월식,"54,736km",가솔린,,흰색,"1,997cc",3,단순수리,1,0,1,1,0,0,0,0
기아 셀토스 가솔린 터보 1.6 2WD 노블레스,"1,950만원",20년 2월식,"49,371km",가솔린,,검정색,"1,591cc",1,단순수리,1,1,1,1,0,0,0,0
현대 코나 디젤 1.6 2WD 모던 테크,"1,290만원",18년 9월식,"85,230km",디젤,,빨간색,"1,582cc",1,무사고,1,1,1,1,0,0,0,0
현대 아반떼 AD 1.6 GDI 법인전용,"1,120만원",18년 7월식,"55,063km",가솔린,,흰색,"1,591cc",2,사고,1,0,0,0,0,0,0,1
제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,"5,080만원",21년 12월식(22년형),"84,667km",가솔린,,쥐색,"2,497cc",1,무사고,1,1,1,0,0,0,0,0
현대 더 뉴 그랜저 LPG 3.0 (일반인판매용) 익스클루시브,"3,350만원",20년 6월식,"35,344km",LPG,,쥐색,"2,999cc",0,무사고,1,1,1,0,0,0,0,0
기아 레이 터보 프레스티지,"1,120만원",15년 1월식,"44,821km",가솔린,,연두색,998cc,5,무사고,1,0,1,1,0,0,0,1
지프 그랜드 체로키 3.6 80주년 에디션 WK2,"3,150만원",21년 6월식,"79,822km",가솔린,,검정색,"3,604cc",1,무사고,1,1,1,1,0,0,0,0
쉐보레(GM대우) 올란도 LPG LTZ 프리미엄,960만원,14년 2월식,"75,917km",LPG,,흰색,"1,998cc",1,무사고,1,0,1,1,0,0,0,0
현대 그랜저 IG 하이브리드 익스클루시브 스페셜,"1,870만원",19년 11월식,"158,868km",가솔린+전기,,검정색,"2,359cc",2,무사고,1,1,1,1,0,0,0,0
현대 더 뉴 그랜저 하이브리드 가솔린 2.4 하이브리드 익스클루시브,"2,930만원",20년 11월식(21년형),"52,596km",가솔린+전기,,은회색,"2,359cc",1,사고,1,1,1,1,0,0,0,0
현대 더 뉴 아반떼 AD 1.6 스마트,"1,450만원",19년 3월식,"38,948km",가솔린,,청색,"1,598cc",3,무사고,1,0,1,1,0,0,0,0
기아 더 뉴 레이 밴 (2인승) 고급형,820만원,18년 9월식,"54,288km",가솔린,,검정색,998cc,1,무사고,0,0,1,0,0,0,0,0
현대 더 뉴 아반떼 1.6 GDi 프리미엄 기본형,830만원,14년 6월식(15년형),"93,212km",가솔린,,흰색,"1,591cc",4,사고,1,1,1,1,0,0,0,0
기아 올 뉴 쏘렌토 디젤 2.2 2WD 노블레스,"1,720만원",17년 2월식,"86,314km",디젤,,청색,"2,199cc",1,무사고,1,1,1,1,0,0,0,0
현대 쏘나타 DN8 2.0 가솔린 프리미엄 패밀리,"1,950만원",20년 1월식,"37,295km",가솔린,,기타,"1,999cc",3,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 카니발 9인승 노블레스 스페셜,"2,650만원",19년 11월식(20년형),"39,090km",디젤,,흰색,"2,199cc",0,무사고,1,1,1,0,0,0,0,0
현대 그랜저 IG 3.0 프리미엄,"1,840만원",19년 2월식,"79,991km",가솔린,,검정색,"2,999cc",2,단순수리,1,1,1,1,0,0,0,0
기아 더 뉴 레이 프레스티지,"1,170만원",18년 3월식,"36,073km",가솔린,,하늘색,998cc,5,무사고,1,0,1,1,0,0,0,1
쉐보레(GM대우) 더 뉴 스파크 LS 베이직,590만원,21년 7월식(22년형),"17,647km",가솔린,,흰색,999cc,3,단순수리,0,0,0,0,0,0,0,0
현대 아반떼 AD 1.6 GDI 모던 스페셜,"1,150만원",16년 9월식(17년형),"75,116km",가솔린,,빨간색,"1,591cc",3,단순수리,1,0,1,1,0,0,0,1
르노코리아(삼성) XM3 가솔린 1.6 RE,"1,920만원",22년 4월식(23년형),"31,279km",가솔린,,흰색,"1,598cc",3,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 K7 2.4 GDI 프레스티지 스페셜,990만원,13년 5월식,"83,179km",가솔린,,검정색,"2,359cc",3,무사고,1,0,1,1,0,0,0,0
기아 레이 프레스티지,"1,090만원",16년 5월식,"23,450km",가솔린,,흰색,998cc,0,무사고,1,0,1,1,0,0,0,1
현대 아반떼 AD 1.6 GDI 밸류 플러스,"1,110만원",18년 2월식,"107,047km",가솔린,,쥐색,"1,591cc",1,무사고,1,0,1,1,0,0,0,1
현대 제네시스 DH G330 프리미엄 AWD,"1,830만원",15년 7월식(16년형),"115,023km",가솔린,,쥐색,"3,342cc",1,무사고,1,1,1,0,0,0,0,0
기아 니로 EV 프레스티지 세부등급 없음,"2,360만원",21년 3월식,"46,853km",전기,,흰색,180cc,1,무사고,1,1,1,1,0,0,0,0
KG모빌리티(쌍용) 티볼리 디젤 LX 2WD,720만원,16년 4월식,"125,522km",디젤,,쥐색,"1,597cc",4,단순수리,1,1,0,1,0,0,0,1
쉐보레(GM대우) 캡티바 2WD LT 프리미엄,750만원,15년 5월식,"89,939km",디젤,,흰색,"1,998cc",1,사고,1,0,1,1,0,0,0,1
현대 팰리세이드 가솔린 3.8 4WD 프레스티지 (8인승),"2,650만원",19년 3월식,"78,328km",가솔린,,쥐색,"3,778cc",1,단순수리,1,1,1,0,0,0,0,0
현대 베뉴 1.6 스마트,"1,290만원",20년 10월식,"32,467km",가솔린,,은색,"1,598cc",1,무사고,0,0,0,0,0,0,0,0
기아 더 뉴 카니발 9인승 노블레스 스페셜,"2,420만원",19년 3월식,"79,335km",디젤,,검정색,"2,199cc",1,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 K5 2세대 2.0 LPI 렌터카 럭셔리,"1,490만원",19년 11월식(20년형),"51,157km",LPG,,검정색,"1,999cc",1,무사고,1,0,0,1,0,0,0,1
기아 셀토스 가솔린 터보 1.6 2WD 노블레스,"1,830만원",19년 9월식(20년형),"94,105km",가솔린,,청색,"1,591cc",2,단순수리,1,1,1,0,0,0,0,0
기아 올 뉴 모닝 디럭스 스페셜,420만원,11년 11월식(12년형),"91,721km",가솔린,,진주색,998cc,3,무사고,1,0,0,0,0,0,0,1
쉐보레(GM대우) 스파크 LT 기본형,380만원,14년 3월식,"93,106km",가솔린,,쥐색,995cc,1,사고,1,0,1,0,0,0,0,1
기아 올 뉴 K3 트렌디,"1,160만원",20년 1월식,"77,011km",가솔린,,쥐색,"1,598cc",1,단순수리,1,0,0,1,0,0,0,1
