차종,가격,연식,주행거리,연료,변속기,색상,배기량,소유자변경,사고이력,열선시트,통풍시트,내비게이션,스마트키,썬루프,오토라이트,주차감지센서,가죽시트
현대 그랜저 HG HG240 모던,980만원,14년 4월식,"144,095km",가솔린,,진주색,"2,359cc",0,무사고,1,1,1,1,0,0,0,0
KG모빌리티(쌍용) 티볼리 VX 2WD,"1,000만원",17년 3월식,"61,269km",가솔린,,빨간색,"1,597cc",0,무사고,1,0,1,1,0,0,0,1
기아 레이 디럭스 스페셜,810만원,13년 5월식,"49,927km",가솔린,,흰색,998cc,0,무사고,1,0,0,0,0,0,0,1
쉐보레(GM대우) 더 뉴 트랙스 1.4 프리미어,890만원,18년 6월식,"151,552km",가솔린,,쥐색,"1,362cc",0,단순수리,1,0,0,1,0,0,0,1
기아 카니발 (4세대) 디젤 2.2 (9인승) 프레스티지,"3,190만원",23년 2월식,"26,052km",디젤,,진주색,"2,151cc",0,무사고,1,1,1,1,0,0,0,0
기아 올 뉴 모닝 (JA) 럭셔리,880만원,19년 2월식,"45,590km",가솔린,,쥐색,998cc,0,단순수리,1,0,1,1,0,0,0,1
기아 디 올 뉴 스포티지 하이브리드 가솔린 터보 1.6 2WD 시그니처,"3,760만원",22년 6월식,"5,107km",가솔린+전기,,진주색,"1,598cc",0,무사고,1,1,1,1,0,0,0,0
지프 레니게이드 2.4 리미티드,"1,990만원",19년 5월식,"42,227km",가솔린,,흰색,"2,360cc",0,무사고,1,0,1,1,0,0,0,0
기아 올 뉴 K7 3.0 GDI 리미티드,"1,790만원",18년 1월식,"86,326km",가솔린,,검정색,"2,999cc",0,무사고,1,1,1,1,0,0,0,0
기아 올 뉴 카니발 9인승 프레스티지,"1,980만원",18년 4월식,"74,032km",디젤,,흰색,"2,199cc",0,무사고,1,1,1,1,0,0,0,0
현대 싼타페 더 프라임 디젤 2.0 2WD 익스클루시브,"1,470만원",15년 6월식(16년형),"106,115km",디젤,,청색,"1,995cc",0,무사고,1,1,1,1,0,0,0,0
제네시스 더 뉴 G70 가솔린 터보 3.3 스포츠 패키지 2WD,"4,380만원",22년 6월식,"33,489km",가솔린,,흰색,"3,342cc",0,무사고,1,1,1,0,0,0,0,0
아우디 뉴 A6 (C7) 35 TDI 프리미엄 C7,"2,050만원",18년 4월식,"81,845km",디젤,,검정색,"1,968cc",0,단순수리,1,1,1,1,0,0,0,0
기아 올 뉴 카니발 가솔린 9인승 노블레스,"1,840만원",17년 9월식(18년형),"124,364km",가솔린,,검정색,"3,342cc",0,무사고,1,1,1,1,0,0,0,0
현대 쏘나타 DN8 2.0 가솔린 프리미엄 패밀리,"1,890만원",20년 3월식,"85,022km",가솔린,,쥐색,"1,999cc",0,무사고,1,1,1,1,0,0,0,0
제네시스 G80 3.3 GDI AWD 럭셔리,"1,850만원",17년 7월식(18년형),"137,092km",가솔린,,쥐색,"3,342cc",0,무사고,1,1,1,1,0,0,0,0
현대 팰리세이드 디젤 2.2 2WD 캘리그래피 (7인승),"3,950만원",22년 3월식,"26,139km",디젤,,흰색,"2,199cc",0,무사고,1,1,1,0,0,0,0,0
쉐보레(GM대우) 더 뉴 트랙스 1.4 레드라인 LT 코어,"1,110만원",19년 8월식,"111,819km",가솔린,,흰색,"1,362cc",0,단순수리,1,0,0,1,0,0,0,1
